fid,powiat,woj,m,k,aprod,prod,pprod,malzenstwa,przyrost
336,czarnkowsko-trzcianecki,30,43643,44438,14598,59224,14259,4.9,0.3
337,ostrowski,30,78870,82346,24831,108284,28101,5,0.9
338,poznański,30,171535,180860,65984,238352,48059,4.4,4.7
339,grodziski,30,25420,25551,9093,34706,7172,5.6,3.3
340,wolsztyński,30,28028,28752,9968,38036,8776,4.9,3.4
341,wrzesiński,30,37429,39052,12618,51446,12417,4.9,0.4
342,rawicki,30,29853,30540,10302,39919,10172,5.4,2.1
343,szamotulski,30,43945,45663,14998,60429,14181,5.2,1.8
344,złotowski,30,34719,35282,11780,47596,10625,4.9,0.8
345,krotoszyński,30,38285,39673,12942,52195,12821,5.1,1.7
346,słupecki,30,29652,29999,9395,40134,10122,5,0.2
347,Poznań,30,255276,292752,72194,358894,116940,4.4,-0.2
348,gnieźnieński,30,71114,73841,24014,97135,23806,4.8,2
349,jarociński,30,35009,36623,11635,48055,11942,5.5,1.8
350,pleszewski,30,31413,31883,10359,42482,10455,5.5,-0.9
351,kaliski,30,40560,42025,13391,55248,13946,4.8,0.5
352,średzki,30,27975,28950,9468,38632,8825,5.3,2.5
353,śremski,30,29908,30817,10252,41093,9380,5.1,1.9
354,Kalisz,30,48376,55621,14518,66862,22617,4.1,-2.8
355,Konin,30,36698,40526,10144,51019,16061,4.9,-1
356,chodzieski,30,23432,24207,7779,32034,7826,4.5,-0.3
357,gostyński,30,37699,38540,12448,51428,12363,5.4,1.1
358,ostrzeszowski,30,27441,28013,9188,37177,9089,5,0.3
359,Leszno,30,30877,33712,9830,42684,12075,4.7,2.1
360,gryfiński,32,41655,42225,13047,57615,13218,4.6,-0.5
361,policki,32,36697,37786,12603,52669,9211,4.2,4.2
362,kołobrzeski,32,38298,41326,11266,53866,14492,4.6,-0.6
363,Koszalin,32,51619,57551,14195,71660,23315,4.2,-1.7
364,Szczecin,32,194002,214170,52423,269621,86128,4.1,-2.2
365,wałecki,32,26625,27972,8428,37116,9053,4.7,-1.3
366,łobeski,32,18846,19120,5835,25614,6517,5.1,-1.9
367,Świnoujście,32,20003,21368,4946,27662,8763,4,-4.1
368,pyrzycki,32,20287,20245,6230,27451,6851,4.5,-0.1
369,sławieński,32,28503,29352,9080,39238,9537,4.7,-0.1
370,szczecinecki,32,38559,40545,11755,53505,13844,4.9,-0.8
371,świdwiński,32,23988,24594,7228,33106,8248,4.8,-1.9
372,stargardzki,32,59235,61491,18136,82284,20306,4.8,0.3
373,koszaliński,32,32952,33029,10366,46107,9508,4.8,0.5
374,białogardzki,32,24020,24879,7485,33387,8027,4.4,-1.5
375,choszczeński,32,24913,25016,7671,34037,8221,4.8,-0.5
376,goleniowski,32,40603,41667,13203,56086,12981,5.1,0.8
377,drawski,32,28642,29761,9051,39636,9716,4.2,-0.8
378,gryficki,32,30510,31162,9585,42246,9841,4.7,-0.6
379,kamieński,32,23583,24364,6752,32866,8329,4.5,-2
380,myśliborski,32,33413,34285,10368,46002,11328,4.6,-1.1
